series_name,include_main_hist,cv_supw_found_hist,cv_supw_stat_hist,cv_supw_break_date_hist,cv_supw_hac_lag_hist,cv_mu1_hist,cv_mu2_hist,cv_ratio_hist,cv_pct_change_hist,cv_break_date_hist,cv_hansen_pval_hist,cv_hansen_sig5_hist
HWI,1,1,70.4828874446144,01-Jun-1968,5,48.1194475186359,105.303750470978,2.18838236723718,118.838236723718,01-Jun-1968,2.77555756156289e-15,1
HWIURATIO,1,1,13.2339153306006,01-Jan-1981,5,0.0315114783600236,0.021042623730198,0.667776468300937,-33.2223531699063,01-Jan-1981,0.00582930955227057,1
CLF16OV,1,1,41.6300878016974,01-Oct-1983,5,0.00299747871877443,0.00177119485579328,0.590894889328008,-40.9105110671992,01-Oct-1983,5.19108311891614e-09,1
CE16OV,1,1,35.4241802097506,01-Mar-1992,5,0.00298556292289581,0.00174618819214545,0.584877370613832,-41.5122629386168,01-Mar-1992,1.13656441591559e-07,1
UNRATE,1,1,22.3961852914497,01-Nov-1990,5,0.172921199494926,0.116076079642871,0.671265755626899,-32.8734244373101,01-Nov-1990,6.99530204235632e-05,1
UEMPMEAN,1,1,11.3109988989014,01-Aug-1965,5,0.646672717904625,0.40467209794291,0.62577573900774,-37.422426099226,01-Aug-1965,0.0144439817000065,1
UEMPLT5,1,1,22.4915125531924,01-Nov-1983,5,0.0490225257350983,0.0321503188277127,0.655827465958047,-34.4172534041953,01-Nov-1983,6.67695654131828e-05,1
UEMP5TO14,1,1,26.0076143206844,01-Dec-1981,5,0.0607132747256437,0.0402873330910421,0.663567123880171,-33.6432876119828,01-Dec-1981,1.19173523672744e-05,1
UEMP15OV,1,1,22.423237033741,01-Nov-1980,5,0.0582503900492015,0.0385597085617342,0.661964813096779,-33.8035186903221,01-Nov-1980,6.90345675562476e-05,1
UEMP15T26,1,1,23.8347889136092,01-Jul-1976,5,0.0936443330161573,0.0636301708788786,0.679487683124401,-32.0512316875599,01-Jul-1976,3.46076262310868e-05,1
UEMP27OV,1,1,36.2869844986853,01-Jul-1980,5,0.0807840247540923,0.0478561243719062,0.592395891608284,-40.7604108391716,01-Jul-1980,7.40599112036833e-08,1
CLAIMSx,1,1,30.9915649964501,01-Dec-1992,5,0.0526038988266879,0.0309479842448332,0.588321111839949,-41.1678888160051,01-Dec-1992,1.0212832919354e-06,1
PAYEMS,1,1,60.9916197378637,01-Feb-1984,5,0.00187280422705158,0.000887737586487348,0.474015155275971,-52.5984844724029,01-Feb-1984,3.22297744048683e-13,1
USGOOD,1,1,69.0147558657742,01-Mar-1984,5,0.00404235151656603,0.00162051435713031,0.400884077124231,-59.9115922875769,01-Mar-1984,5.77315972805081e-15,1
CES1021000001,1,1,17.3894502426863,01-Jun-1990,5,0.0128716839579591,0.00529615328652961,0.411457685243645,-58.8542314756355,01-Jun-1990,0.000796571607567298,1
USCONS,1,1,63.0482551444354,01-Mar-1984,5,0.0102579935752508,0.00449590872693974,0.438283441489661,-56.1716558510339,01-Mar-1984,1.14797060746241e-13,1
MANEMP,1,1,37.7442736984868,01-Nov-1983,5,0.00368651035041554,0.00142954222326928,0.38777653861955,-61.2223461380451,01-Nov-1983,3.59042270359211e-08,1
DMANEMP,1,1,32.0571977588306,01-Nov-1983,5,0.00510206520125597,0.00199690258324981,0.391391035684577,-60.8608964315423,01-Nov-1983,6.02904386193259e-07,1
NDMANEMP,1,1,33.6251503894539,01-Jan-1983,5,0.00274314596662974,0.00140134343277163,0.510852666908331,-48.9147333091669,01-Jan-1983,2.77359963551937e-07,1
SRVPRD,1,1,19.5549004785017,01-Jun-1991,5,0.00137355128010691,0.000824191588040275,0.600044279363292,-39.9955720636708,01-Jun-1991,0.00027918638096891,1
USTPU,1,1,15.9732968240023,01-Feb-1991,5,0.00196983671525506,0.00120923000640568,0.613873219562313,-38.6126780437687,01-Feb-1991,0.00157537189699086,1
USWTRADE,1,1,24.4954654691445,01-Feb-1991,5,0.00180491444925003,0.00110891749705302,0.614387843985513,-38.5612156014487,01-Feb-1991,2.50355804114477e-05,1
USTRADE,1,1,30.0015385543362,01-Apr-1991,5,0.00258812343482612,0.00140032999545289,0.541059972878367,-45.8940027121633,01-Apr-1991,1.66566200188178e-06,1
