series_name,include_main_mod,cvmod_found,cvmod_supw_stat,cvmod_break_date,cvmod_hac_lag,cvmod_mu1,cvmod_mu2,cvmod_ratio,cvmod_pct_change,cvmod_hansen_pval,cvmod_hansen_sig5
IPFUELS,1,1,2.66611694950635,01-Aug-2004,5,0.0142868235953695,0.0187289262784754,1.31092304412197,31.0923044121971,0.63040872360468,0
CUMFNS,1,1,5.60245710477396,01-Mar-2003,5,0.390526121756122,0.630876156907967,1.61545187827907,61.5451878279068,0.193117934229218,0
HWI,1,1,35.5206102358871,01-May-2020,5,206.589861641075,463.453185672308,2.24334912657767,124.334912657767,1.08345480365202e-07,1
HWIURATIO,1,1,23.7140402951179,01-Jun-2020,5,0.0340866725795013,0.100364954528865,2.94440457028421,194.440457028421,3.6715939844445e-05,1
CLF16OV,1,1,2.29071287903229,01-May-2007,5,0.00196038029320918,0.00256910950901131,1.31051588200044,31.0515882000437,0.718115503333436,0
CE16OV,1,1,1.83907605183751,01-Jan-2020,5,0.00232824688864922,0.00747972263824932,3.2125985756557,221.25985756557,0.82883929154632,0
UNRATE,1,1,3.07127495422713,01-Oct-2006,5,0.123443131981944,0.265658909490612,2.15207525299561,115.207525299561,0.543322587999052,0
UEMPMEAN,1,1,28.9194680973474,01-Jun-2005,5,0.476185108184304,1.14537368992541,2.4053118634741,140.53118634741,2.84133817696208e-06,1
UEMPLT5,1,1,8.57784297786553,01-Jan-2008,5,0.0416676340403315,0.0819277022174082,1.96621920356955,96.6219203569554,0.0512549113615621,0
UEMP5TO14,1,1,14.0204615488591,01-Jun-2020,5,0.0533946410393803,0.115446435058703,2.16213524075492,116.213524075492,0.00401036052042425,1
UEMP15OV,1,1,12.6118046710179,01-Sep-2020,5,0.0483803822763565,0.0775800998472391,1.60354458143983,60.3544581439831,0.00782733769549193,1
UEMP15T26,1,1,11.3302513812483,01-Oct-2020,5,0.0752480039860623,0.120080491051085,1.59579636256301,59.5796362563009,0.0143141628349102,1
UEMP27OV,1,1,16.8555190750541,01-Nov-2020,5,0.0556285759881582,0.0920427603049047,1.65459493919992,65.4594939199921,0.00103050601245447,1
CLAIMSx,1,1,5.2153588800167,01-Jun-2003,5,0.0373586085937678,0.0659768058677278,1.76604023413051,76.604023413051,0.227996253050439,0
PAYEMS,1,1,2.27166174318086,01-Mar-2008,5,0.00130029764765668,0.00307787256353324,2.3670523199669,136.70523199669,0.722709381677124,0
USGOOD,1,1,5.84259650607596,01-Dec-2021,5,0.00372946855581677,0.00162830256547136,0.436604449427985,-56.3395550572015,0.174047998298665,0
CES1021000001,1,1,9.03907619115321,01-Oct-2007,5,0.004384918226298,0.00680793033667828,1.55257863096478,55.2578630964783,0.0414925889812988,1
