series_name,include_main_full_ext,cvfull_found,cvfull_supw_stat,cvfull_break_date,cvfull_hac_lag,cvfull_mu1,cvfull_mu2,cvfull_ratio,cvfull_pct_change,cvfull_hansen_pval,cvfull_hansen_sig5
IPFUELS,1,1,5.15223841514089,01-Aug-1972,6,0.0143673717966381,0.0181139862988152,1.26077243320547,26.0772433205473,0.234206535307405,0
CUMFNS,1,1,7.83847710924575,01-Apr-1982,6,0.691792497164298,0.511720564053854,0.739702390747847,-26.0297609252153,0.0717307317535637,0
HWI,1,1,67.3588261888802,01-Dec-1972,6,63.7781013378082,180.238035030589,2.82601757107721,182.601757107721,1.32116539930394e-14,1
HWIURATIO,1,1,17.494904658298,01-Sep-2015,6,0.0269812302128459,0.0788486383669564,2.92235149194258,192.235149194258,0.000757035545215778,1
CLF16OV,1,1,13.5731649138502,01-Jan-1978,6,0.00312082087088874,0.00221727759504116,0.710478969082816,-28.9521030917184,0.00496176310159879,1
CE16OV,1,1,1.88338591586838,01-May-1969,6,0.00388895332424752,0.00302422494037946,0.777644956940857,-22.2355043059143,0.817928115140326,0
UNRATE,1,1,1.3241644151013,01-Jan-2008,6,0.164836452944537,0.267962016998398,1.62562353297277,62.562353297277,0.948246223293974,0
UEMPMEAN,1,1,34.928295612626,01-Apr-2007,6,0.465095845878112,1.2169798217705,2.61662156855608,161.662156855608,1.45360414705031e-07,1
UEMPLT5,1,1,6.93721176596939,01-Apr-2008,6,0.0426511783403808,0.0871021924294715,2.04219896890881,104.219896890881,0.107502350067561,0
UEMP5TO14,1,1,7.47811687170257,01-Jan-2016,6,0.0513048125430844,0.105044075461186,2.04745072156677,104.745072156677,0.0843880802814627,0
UEMP15OV,1,1,9.50434240831976,01-Jun-1971,6,0.0685320688264861,0.0494838019010029,0.7220532335933,-27.79467664067,0.0334900648853227,1
UEMP15T26,1,1,8.31057133674669,01-Apr-1971,6,0.0997105379253495,0.0772611932279805,0.774854843184416,-22.5145156815584,0.0578990336163061,0
UEMP27OV,1,1,15.7726863437493,01-Aug-1976,6,0.0822404509911929,0.0581232739297077,0.706747996018797,-29.3252003981203,0.00173467332681332,1
CLAIMSx,1,1,2.94027807563929,01-Dec-2015,6,0.0464369147168814,0.0942234654117382,2.02906385978061,102.906385978061,0.570523503857977,0
PAYEMS,1,1,0.816459785537104,01-Nov-1984,6,0.00254274917013391,0.00202581842529849,0.79670399624663,-20.329600375337,1,0
USGOOD,1,1,15.7332499136068,01-Jul-1983,6,0.00426570320958776,0.00234873509995584,0.550609122237275,-44.9390877762725,0.00176781957256689,1
CES1021000001,1,1,18.2590011213567,01-Oct-1986,6,0.0145679352455679,0.00563133561479332,0.386556881251004,-61.3443118748996,0.000523255766926689,1
USCONS,1,1,51.8180350629337,01-Mar-1984,6,0.0104450742540665,0.0046106971504624,0.441423108951797,-55.8576891048203,3.20116155805295e-11,1
MANEMP,1,1,12.5367761197537,01-May-1983,6,0.00385504103327355,0.00207755192024692,0.538918237786626,-46.1081762213374,0.00810998890759362,1
DMANEMP,1,1,15.3102933443332,01-Sep-1983,6,0.00508954605720224,0.00262978563257402,0.516703376493194,-48.3296623506806,0.00216531797353725,1
NDMANEMP,1,1,5.35704949543411,01-Aug-1980,6,0.00277559759671889,0.00194577549413059,0.701029391447356,-29.8970608552644,0.214604022893767,0
SRVPRD,1,1,1.49331222993795,01-Nov-2015,6,0.00122736825263992,0.00363235725696889,2.95946815404107,195.946815404107,0.911544069556309,0
USTPU,1,1,0.887793357789277,01-Jan-2008,6,0.00209781585690804,0.00308493717067716,1.47054716958048,47.0547169580478,1,0
USWTRADE,1,1,3.77279180722904,01-Oct-1975,6,0.00204494328848408,0.00157420433069473,0.769803416828098,-23.0196583171902,0.414000858809334,0
USTRADE,1,1,2.08950856282245,01-May-1969,6,0.003515422577633,0.00259133130255901,0.737132235267092,-26.2867764732908,0.767114904053327,0
USFIRE,1,1,3.7003530821376,01-Mar-2001,6,0.0010132546392692,0.00134154383691524,1.32399476392511,32.3994763925109,0.426080991356767,0
USGOVT,1,1,1.54866123605458,01-Oct-1982,6,0.00237802349357905,0.00201279628058514,0.846415641401329,-15.3584358598672,0.898801172788204,0
CES0600000007,1,1,5.90407132088452,01-Mar-1984,6,0.245473124004889,0.192230242584987,0.783100974350081,-21.6899025649919,0.169457845461788,0
AWOTMAN,1,1,8.03780463688535,01-Sep-1983,6,0.136128293535765,0.102603678590904,0.753727795492763,-24.6272204507237,0.0655391178572309,0
AWHMAN,1,1,7.70256793041394,01-Mar-1984,6,0.231803255147821,0.167122081953182,0.720965207527427,-27.9034792472573,0.076272791275292,0
HOUST,1,1,8.62728971263311,01-Apr-1984,6,0.0841738483656685,0.0675663096138427,0.802699542978251,-19.7300457021749,0.0501097501972084,0
HOUSTNE,1,1,32.0473346548377,01-Mar-2015,6,0.154926808642416,0.257680702663306,1.66324153270371,66.3241532703708,6.05854168500564e-07,1
HOUSTMW,1,1,11.3599628258245,01-Jan-2007,6,0.133071674903677,0.175131491570617,1.31606889067403,31.6068890674029,0.014116070671608,1
