series_name,fred_group,include_main_hist,include_main_2007,include_main_full_ext,hist_uv_gamma,hist_uv_abrupt,hist_uv_smooth_mid,hist_uv_lag_mo,hist_cv_gamma,hist_cv_abrupt,hist_cv_smooth_mid,hist_cv_lag_mo,p2007_uv_gamma,p2007_uv_abrupt,p2007_uv_smooth_mid,p2007_uv_lag_mo,p2007_cv_gamma,p2007_cv_abrupt,p2007_cv_smooth_mid,p2007_cv_lag_mo,full_uv_gamma,full_uv_abrupt,full_uv_smooth_mid,full_uv_lag_mo,full_cv_gamma,full_cv_abrupt,full_cv_smooth_mid,full_cv_lag_mo
EXSZUSx,Interest and Exchange Rates,1,1,1,100,1,01-Jul-1972,-6,100 | 100,1 | 1,01-Dec-1970 | 01-Aug-1972,50 | -5,100 | 10,1 | 0,01-Jul-1972 | 01-Sep-2002,-6 | 12,100 | 100 | 10,1 | 1 | 0,01-Dec-1970 | 01-Sep-1972 | 01-Oct-2000,50 | -4 | 67,100 | 5,1 | 0,01-May-1972 | 01-Apr-2014,-8 | 28,20 | 20 | 100,1 | 1 | 1,01-May-1971 | 01-Jan-1974 | 01-Nov-2012,48 | 6 | 14
EXJPUSx,Interest and Exchange Rates,1,1,1,100 | 100,1 | 1,01-Jun-1971 | 01-Aug-1977,-1 | -1,100 | 100,1 | 1,01-Jun-1971 | 01-Aug-1977,-2 | -6,100 | 100 | 100,1 | 1 | 1,01-Jun-1971 | 01-Jul-1977 | 01-Aug-2002,-1 | -2 | 29,100 | 100 | 50,1 | 1 | 1,01-Jun-1971 | 01-Aug-1977 | 01-Jan-2002,-2 | -6 | 18,50,1,01-Aug-1972,-5,50,1,01-Jan-1973,0
EXUSUKx,Interest and Exchange Rates,1,1,1,100 | 50 | 5 | 100,1 | 1 | 0 | 1,01-Jun-1967 | 01-Apr-1972 | 01-Feb-1990 | 01-Jul-1993,14 | -2 | 68 | 3,100 | 5 | 100,1 | 0 | 1,01-Feb-1972 | 01-Feb-1990 | 01-Jul-1993,-3 | 68 | 3,100 | 50 | 100 | 5 | 100 | 100,1 | 1 | 1 | 0 | 1 | 1,01-Jun-1967 | 01-Nov-1971 | 01-Nov-1977 | 01-Apr-1990 | 01-Jul-1993 | 01-May-2002,15 | -6 | 49 | 70 | 3 | 34,100 | 50 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1,01-Dec-1961 | 01-Jan-1972 | 01-Mar-1972 | 01-Jun-1984 | 01-Jul-1993 | 01-Jun-1993,-1 | 52 | -20 | 0 | 34 | -41,50 | 5 | 100 | 100,1 | 0 | 1 | 1,01-Mar-1972 | 01-Feb-1990 | 01-Jul-1993 | 01-Aug-2002,-2 | 68 | 3 | 3,100 | 5 | 100,1 | 0 | 1,01-Feb-1972 | 01-Apr-1990 | 01-Oct-1993,-3 | 70 | 4
EXCAUSx,Interest and Exchange Rates,1,1,1,50,1,01-Oct-1974,-5,50,1,01-Dec-1974,-3,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Sep-1962 | 01-Mar-1970 | 01-Jan-1976 | 01-Nov-2002,1 | -2 | -6 | 13,50 | 100,1 | 1,01-Nov-1974 | 01-Jan-2003,-4 | 28,100 | 100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1,01-Sep-1962 | 01-Feb-1970 | 01-Dec-1975 | 01-Jul-1980 | 01-Jan-2003 | 01-May-2018,1 | -3 | -7 | -194 | 0 | 96,50 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Oct-1974 | 01-Nov-1997 | 01-Apr-2007 | 01-May-2010,-5 | 14 | 48 | 0
WPSFD49207,Prices,1,1,1,100,1,01-Sep-1975,5,100,1,01-Feb-1992,0,100 | 20,1 | 1,01-Sep-1975 | 01-May-2002,5 | 28,100 | 5,1 | 0,01-Jan-1992 | 01-Apr-2005,6 | 47,100 | 100,1 | 1,01-Sep-1975 | 01-Apr-2000,5 | 3,50,1,01-Dec-2002,-21
WPSFD49502,Prices,1,1,1,100,1,01-Aug-1975,4,100,1,01-Mar-1992,1,100 | 20,1 | 1,01-Aug-1975 | 01-Apr-2002,4 | 27,100 | 5,1 | 0,01-Feb-1992 | 01-Nov-2004,3 | 42,100 | 50,1 | 1,01-Aug-1975 | 01-Sep-2000,4 | 8,100 | 20 | 100,1 | 1 | 1,01-Jan-1992 | 01-May-1999 | 01-Mar-2005,-1 | 8 | -1
WPSID61,Prices,1,1,1,100 | 20,1 | 1,01-Oct-1972 | 01-Dec-1976,-1 | -25,100 | 10 | 100 | 100,1 | 0 | 1 | 1,01-Feb-1962 | 01-Jul-1963 | 01-Nov-1972 | 01-Nov-1975,1 | 3 | 15 | -24,100 | 20 | 20,1 | 1 | 1,01-Oct-1972 | 01-Jan-1977 | 01-Oct-2002,-1 | -24 | 29,100 | 100 | 100 | 5,1 | 1 | 1 | 0,01-Oct-1972 | 01-Jul-1975 | 01-Feb-1992 | 01-Jun-2005,2 | -39 | 6 | 48,100 | 50,1 | 1,01-Apr-1976 | 01-Jul-2001,5 | -17,100 | 50 | 50,1 | 1 | 1,01-Oct-1972 | 01-Mar-1977 | 01-Dec-2001,2 | -19 | -12
WPSID62,Prices,1,1,1,100 | 50,1 | 1,01-Jun-1970 | 01-Apr-1977,-33 | -156,100 | 100 | 100 | 50 | 5,1 | 1 | 1 | 1 | 0,01-Dec-1969 | 01-Jul-1967 | 01-Feb-1975 | 01-Jun-1975 | 01-Oct-1996,46 | -51 | 28 | -42 | 77,100 | 100,1 | 1,01-Oct-1989 | 01-Jul-1999,-6 | -2,100 | 50,1 | 1,01-May-1972 | 01-Sep-1998,-5 | 22,100 | 100,1 | 1,01-May-1972 | 01-Aug-1996,-10 | 6,100 | 100 | 100,1 | 1 | 1,01-Dec-1972 | 01-Aug-1975 | 01-Mar-1996,32 | -11 | -7
OILPRICEx,Prices,1,1,1,5,0,01-Apr-1977,45,100 | 100,1 | 1,01-Jan-1969 | 01-Apr-1985,-1 | -7,100 | 100,1 | 1,01-Jan-1973 | 01-Jun-1985,-6 | -5,100 | 100,1 | 1,01-Jan-1969 | 01-Mar-1985,-1 | -8,100 | 100,1 | 1,01-Jan-1973 | 01-May-1985,-6 | -6,100 | 100 | 100,1 | 1 | 1,01-Jan-1969 | 01-Feb-1979 | 01-Feb-1998,-1 | 1 | 147
PPICMM,Prices,1,1,1,5,0,01-Apr-1965,-29,5,0,01-Feb-1966,-19,100 | 100 | 50,1 | 1 | 1,01-May-1967 | 01-Apr-1987 | 01-Oct-2004,-4 | 2 | 67,100 | 100 | 100,1 | 1 | 1,01-Jun-1967 | 01-Jan-1983 | 01-May-1987,-3 | 25 | 1,100 | 20,1 | 1,01-Apr-1967 | 01-Sep-1998,-5 | -6,100 | 100 | 100,1 | 1 | 1,01-Jul-1967 | 01-Feb-1983 | 01-Oct-1987,-2 | 26 | 6
CPIAUCSL,Prices,1,1,1,100,1,01-Aug-1991,9,100 | 2,1 | 0,01-Oct-1972 | 01-Jan-1977,-2 | -75,100 | 100,1 | 1,01-Nov-1991 | 01-Jan-1999,-5 | -2,,,,,,,,,,,,
CPIAPPSL,Prices,1,1,1,20 | 100,1 | 1,01-Jul-1985 | 01-Oct-1987,18 | -30,100 | 50,1 | 1,01-May-1972 | 01-Apr-1986,-20 | -2,100,1,01-Dec-1986,-11,50 | 100,1 | 1,01-Aug-1971 | 01-Dec-1985,-11 | -1,100,1,01-Sep-1986,-14,100 | 100,1 | 1,01-Oct-1985 | 01-Feb-2018,-6 | 1
CPITRNSL,Prices,1,1,1,,,,,,,,,100,1,01-Oct-1999,-4,1 | 100 | 100 | 5,0 | 1 | 1 | 0,01-Feb-1987 | 01-Mar-1987 | 01-Nov-1998 | 01-Apr-2002,16 | -57 | 69 | 26,100,1,01-Aug-1999,-6,100 | 100 | 100,1 | 1 | 1,01-Jan-1986 | 01-Nov-1991 | 01-Oct-1999,70 | 5 | -7
CPIMEDSL,Prices,1,1,1,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Apr-1978 | 01-Jun-1984 | 01-Nov-1985 | 01-May-1994,0 | 0 | -1 | 8,20 | 100,1 | 1,01-Apr-1982 | 01-Dec-1993,-12 | 4,100 | 100 | 100,1 | 1 | 1,01-Apr-1978 | 01-Sep-1984 | 01-Dec-2000,0 | 3 | -6,20 | 100 | 50,1 | 1 | 1,01-Feb-1982 | 01-Dec-1993 | 01-Jun-2001,-14 | 4 | 0,50 | 100,1 | 1,01-Feb-1979 | 01-Dec-2012,10 | -2,100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1,01-May-1978 | 01-Sep-1984 | 01-Mar-1994 | 01-Aug-2001 | 01-Dec-2014,-1 | 1 | 4 | -1 | -1
CUSR0000SAC,Prices,1,1,1,,,,,,,,,50,1,01-Aug-2000,17,100 | 100 | 10,1 | 1 | 0,01-Sep-1972 | 01-Oct-1991 | 01-Aug-2000,-3 | 3 | 17,100,1,01-May-1999,2,100 | 100 | 100,1 | 1 | 1,01-Nov-1972 | 01-Nov-1991 | 01-Apr-1999,-4 | 1 | -2
CUSR0000SAD,Prices,1,1,1,50,1,01-May-1987,0,20 | 100,1 | 1,01-May-1990 | 01-May-1991,26 | -67,50,1,01-Feb-1987,21,100,1,01-Apr-1988,2,,,,,,,,
CUSR0000SAS,Prices,1,1,1,100 | 100,1 | 1,01-Dec-1983 | 01-Apr-1995,7 | 24,100 | 100,1 | 1,01-Feb-1984 | 01-Jan-1995,10 | 21,100,1,01-Feb-1984,9,100,1,01-May-1984,5,100 | 100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1,01-May-1970 | 01-Apr-1970 | 01-Jul-1983 | 01-Jan-1984 | 01-Sep-2006 | 01-Dec-2019,40 | -37 | 41 | -30 | 7 | 4,100,1,01-Dec-1984,9
CPIULFSL,Prices,1,1,1,100,1,01-Mar-1991,4,100,1,01-May-1991,2,100 | 100,1 | 1,01-Apr-1991 | 01-Jan-1999,5 | -2,100 | 10 | 100,1 | 0 | 1,01-Feb-1979 | 01-May-1989 | 01-Jan-1999,0 | -22 | -2,100 | 5 | 100 | 100 | 100,1 | 0 | 1 | 1 | 1,01-Mar-1991 | 01-Oct-2006 | 01-Oct-2009 | 01-Jan-2020 | 01-May-2023,4 | 79 | 2 | 36 | -3,100,1,01-Nov-1999,5
CUSR0000SA0L2,Prices,1,1,1,,,,,100 | 5,1 | 0,01-May-1972 | 01-Jan-1977,-7 | -120,50 | 100 | 20,1 | 1 | 1,01-May-1972 | 01-Nov-1975 | 01-Sep-2002,34 | 2 | 44,100 | 2 | 10,1 | 0 | 0,01-Mar-1972 | 01-Jul-1976 | 01-Jan-2000,-3 | -176 | 10,50 | 100 | 100 | 100 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1,01-May-1972 | 01-Nov-1975 | 01-Dec-1998 | 01-Sep-2009 | 01-Sep-2009 | 01-Aug-2023,34 | 2 | -1 | 51 | -23 | 58,100 | 100,1 | 1,01-Oct-1991 | 01-Jan-1999,4 | -3
CUSR0000SA0L5,Prices,1,1,1,100,1,01-Dec-1990,-2,100 | 100 | 100,1 | 1 | 1,01-Dec-1972 | 01-Jun-1983 | 01-Dec-1991,0 | 2 | 9,,,,,,,,,,,,,,,,
PCEPI,Prices,1,1,1,100 | 100 | 100,1 | 1 | 1,01-Jul-1972 | 01-Aug-1991 | 01-May-1998,1 | 2 | 0,100 | 50 | 100,1 | 1 | 1,01-Aug-1972 | 01-Jun-1975 | 01-Jun-1991,0 | -104 | 1,100,1,01-May-1972,-1,100,1,01-Feb-1972,-6,100,1,01-Apr-1972,-2,100,1,01-Mar-1972,-11
DDURRG3M086SBEA,Prices,1,1,1,,,,,,,,,,,,,,,,,100 | 50,1 | 1,01-Sep-1967 | 01-Mar-2017,-5 | 12,100 | 100,1 | 1,01-Nov-1981 | 01-Apr-2019,5 | -2
DNDGRG3M086SBEA,Prices,1,1,1,100,1,01-Apr-1972,-10,100 | 50,1 | 1,01-Jul-1972 | 01-Jan-1977,-5 | -178,100,1,01-Mar-1999,2,100 | 100 | 100,1 | 1 | 1,01-Sep-1972 | 01-Oct-1991 | 01-Nov-1998,-3 | 2 | -4,100 | 50 | 2 | 100,1 | 1 | 0 | 1,01-Nov-1985 | 01-Sep-1991 | 01-Dec-2006 | 01-Dec-2009,-2 | -6 | 95 | 4,100 | 50 | 100,1 | 1 | 1,01-Aug-1972 | 01-Jan-1977 | 01-Nov-1998,-5 | -176 | -5
DSERRG3M086SBEA,Prices,1,1,1,100 | 100 | 100 | 20 | 100 | 100,1 | 1 | 1 | 1 | 1 | 1,01-Apr-1962 | 01-Nov-1972 | 01-Oct-1978 | 01-Jan-1987 | 01-Feb-1990 | 01-Jul-1993,-39 | 4 | 1 | 4 | 0 | 1,100 | 100 | 10 | 100 | 100,1 | 1 | 0 | 1 | 1,01-Nov-1972 | 01-Oct-1978 | 01-Mar-1987 | 01-May-1990 | 01-Apr-1994,4 | 1 | 3 | 3 | 0,100 | 100 | 100,1 | 1 | 1,01-Nov-1972 | 01-Oct-1978 | 01-Jul-1986,4 | 1 | -2,100 | 100 | 50,1 | 1 | 1,01-Nov-1972 | 01-Oct-1978 | 01-Apr-1986,4 | 1 | -8,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Apr-1962 | 01-Nov-1972 | 01-Oct-1978 | 01-Jul-1986,-39 | 4 | 1 | -2,100 | 100 | 50,1 | 1 | 1,01-Dec-1972 | 01-Nov-1978 | 01-Mar-1986,4 | 1 | -10
CES0600000008,Labor Market,1,1,1,100,1,01-Feb-1983,8,100,1,01-Aug-1983,3,100 | 100,1 | 1,01-Feb-1983 | 01-May-1999,8 | 6,100 | 100 | 100,1 | 1 | 1,01-Aug-1983 | 01-Oct-2001 | 01-Apr-2006,3 | 23 | 1,100,1,01-Jun-1983,12,100,1,01-Oct-1983,5
CES2000000008,Labor Market,1,1,1,20,1,01-Oct-1967,26,2,0,01-Dec-1993,68,100 | 5,1 | 0,01-Jan-1966 | 01-Jun-1999,5 | 133,10 | 10,0 | 0,01-Mar-1964 | 01-Dec-1990,-27 | 32,10,0,01-Mar-1969,43,5,0,01-Nov-1969,-221
CES3000000008,Labor Market,1,1,1,100,1,01-Nov-1982,8,100,1,01-Apr-1983,1,100,1,01-Dec-1982,9,100,1,01-Apr-1983,1,20,1,01-Nov-1978,-40,100,1,01-Mar-1983,11
UMCSENTx,Orders and Inventories,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
DTCOLNVHFNM,Money and Credit,1,1,1,100 | 100,1 | 1,01-Sep-1966 | 01-Mar-1976,1 | -6,100,1,01-Feb-1976,-7,100 | 100,1 | 1,01-Sep-1966 | 01-Jan-1976,1 | -8,100,1,01-Feb-1976,-7,100 | 100 | 100 | 100,1 | 1 | 1 | 1,01-Sep-1966 | 01-Apr-1976 | 01-Feb-1998 | 01-Sep-2011,1 | -5 | 110 | 8,100 | 2 | 100,1 | 0 | 1,01-Jan-1970 | 01-Sep-1976 | 01-Jan-2012,-6 | -1 | 8
DTCTHFNM,Money and Credit,1,1,1,100 | 100,1 | 1,01-Sep-1967 | 01-Jul-1974,10 | -5,100 | 100 | 5,1 | 1 | 0,01-Apr-1971 | 01-Oct-1974 | 01-Feb-1979,40 | -7 | -96,100 | 100,1 | 1,01-Sep-1967 | 01-May-1974,10 | -7,100 | 100 | 100,1 | 1 | 1,01-Aug-1962 | 01-Dec-1967 | 01-Dec-1973,0 | 48 | -8,100,1,01-Jan-1974,-11,100 | 100 | 100,1 | 1 | 1,01-Jul-1970 | 01-May-1974 | 01-Mar-2009,32 | 4 | -19
INVEST,Money and Credit,1,1,1,100 | 100,1 | 1,01-Nov-1978 | 01-Nov-1993,1 | 1,100,1,01-Jul-1976,-6,100 | 100,1 | 1,01-Nov-1978 | 01-Oct-1993,1 | -3,100 | 10 | 50,1 | 0 | 1,01-Aug-1976 | 01-Nov-2001 | 01-Apr-2006,-5 | 57 | 0,100 | 5 | 100,1 | 0 | 1,01-Nov-1978 | 01-Nov-2004 | 01-Jul-2010,1 | 130 | 12,100,1,01-Oct-1972,-5
VIXCLSx,Stock Market,1,1,1,,,,,,,,,50 | 100,1 | 1,01-Nov-1967 | 01-Nov-1997,-88 | -8,,,,,100 | 100,1 | 1,01-May-1975 | 01-Oct-1992,2 | 61,,,,
