series_name,include_main_mod,uvmod_break_found,uvmod_break_date,uvmod_mu1,uvmod_mu2,uvmod_delta,uvmod_ratio_break,uvmod_pct_change_break,uvmod_ssr_nobreak,uvmod_ssr_best,uvmod_ssr_gain_pct,uvmod_supw_found,uvmod_supw_stat,uvmod_supw_hac_lag,uvmod_supw_break_date,uvmod_supw_mu1,uvmod_supw_mu2,uvmod_supw_ratio,uvmod_supw_pct_change,uvmod_hansen_pval,uvmod_hansen_sig5
USTRADE,1,1,01-Feb-2020,0.00207687939225996,0.00676937303923774,0.00469249364697778,3.25939631567707,225.939631567707,0.043523959863569,0.0423021149338152,2.80729265807583,1,2.32420606345966,5,01-Nov-2021,0.0033646690857145,0.00165737705696843,0.492582484264266,-50.7417515735734,0.710067236038066,0
USFIRE,1,1,01-May-2005,0.00123911957599209,0.00185342208848096,0.000614302512488869,1.49575724925258,49.5757249252585,0.0020057680879483,0.00198359513026359,1.10545968987812,1,5.84939064590653,5,01-May-2005,0.0012391195759921,0.00185342208848096,1.49575724925258,49.5757249252577,0.173535023706134,0
USGOVT,1,1,01-Jan-2020,0.00181122029240382,0.00376451537412647,0.00195329508172265,2.07844147391385,107.844147391385,0.00605307207917616,0.00583922399211416,3.53288519060736,1,2.34460993403133,5,01-Dec-2019,0.0018086631644079,0.00374658525321209,2.07146655438112,107.146655438112,0.705182660724664,0
CES0600000007,1,1,01-Jun-2020,0.692058094392086,0.24148240932754,-0.450575685064546,0.348933725772923,-65.1066274227077,64.4241379037809,53.6260551602937,16.7609270295776,1,58.6573593466175,5,01-Dec-2021,0.669831435260927,0.201159870328314,0.300314168220478,-69.9685831779522,1.03972386256146e-12,1
AWOTMAN,1,1,01-Dec-2019,0.0925753830731396,0.120312874509423,0.027737491436283,1.29962059583776,29.9620595837761,4.95906087552718,4.91551225503503,0.878162651865412,1,2.16925557740251,5,01-Jun-2006,0.0812618892792768,0.10552453761057,1.2985735200902,29.8573520090199,0.747579417757065,0
AWHMAN,1,1,01-Jul-2020,0.706927242054619,0.391022324929736,-0.315904917124882,0.553129518383343,-44.6870481616657,70.7231604235545,65.474202271404,7.4218376564551,1,14.3200412327375,5,01-Jun-2020,0.707461078512579,0.39368165494423,0.556471114668155,-44.3528885331845,0.00347657654581524,1
HOUST,1,1,01-Oct-2013,0.53094615126926,0.159607853049177,-0.371338298220083,0.300610245818008,-69.9389754181992,25.7074651363092,14.647154274368,43.0237318354647,1,55.4053577300802,5,01-Jun-2014,0.520865541230665,0.151667904363801,0.291184369780828,-70.8815630219172,5.30919752605996e-12,1
HOUSTNE,1,1,01-Nov-2012,0.467144759306285,0.257576907314177,-0.209567851992109,0.551385629792103,-44.8614370207897,19.9540622638693,16.4000375995849,17.8110332487017,1,28.3793728195669,5,01-Nov-2012,0.467144759306285,0.257576907314177,0.551385629792103,-44.8614370207897,3.7083761111889e-06,1
HOUSTMW,1,1,01-Aug-2012,0.674909991449534,0.226946768576579,-0.447963222872955,0.336262274157707,-66.3737725842293,32.7498332800455,16.4979557276194,49.624306216937,1,113.574075642592,5,01-Mar-2014,0.648221602420814,0.201221051964308,0.310420157570866,-68.9579842429134,0,1
HOUSTS,1,1,01-Oct-2013,0.477520433285858,0.210441247576824,-0.267079185709034,0.440695796258937,-55.9304203741063,23.8612802032568,18.1398061232669,23.9780683653723,1,23.1063364095636,5,01-Jun-2014,0.469416246959229,0.205881429975959,0.438590337061427,-56.1409662938573,4.94345746214764e-05,1
HOUSTW,1,1,01-Sep-2013,0.613411732148807,0.205895410667219,-0.407516321481588,0.335656134169392,-66.4343865830608,35.2227049268339,21.8863972706172,37.8628151469896,1,48.8895406981616,5,01-Oct-2014,0.593479642221915,0.194622163703405,0.327934018047804,-67.2065981952196,1.38529965276746e-10,1
PERMIT,1,1,01-Mar-2013,0.528808720603179,0.175622637852134,-0.353186082751045,0.332109950175959,-66.7890049824041,25.8378923215369,15.7651042908278,38.9845576618994,1,43.1616912269322,5,01-Jun-2014,0.511362877694814,0.1607468084296,0.314349780637645,-68.5650219362355,2.41933884037593e-09,1
PERMITNE,1,1,01-Apr-2013,0.46583961237174,0.186941805531133,-0.278897806840607,0.401300792303497,-59.8699207696503,21.3734651502696,15.0969696340593,29.3658303512432,1,39.8967925828805,5,01-Jun-2015,0.438332873039632,0.172616340530352,0.393801950862912,-60.6198049137088,1.23066797863558e-08,1
PERMITMW,1,1,01-Aug-2012,0.642404973112533,0.166098695780586,-0.476306277331947,0.258557611993283,-74.1442388006717,29.4690597864795,11.0955793660183,62.3483767503538,1,129.208409357893,5,01-Apr-2015,0.592264704461335,0.123799412819745,0.209027166209982,-79.0972833790018,0,1
PERMITS,1,1,01-Aug-2013,0.463766151030721,0.222599994401681,-0.24116615662904,0.479983271540952,-52.0016728459048,23.6307442583692,18.9548778194533,19.7872161273967,1,21.8629599636349,5,01-Jan-2003,0.177122811661432,0.385049541750711,2.17391276786374,117.391276786374,9.07582147458008e-05,1
