series_name,include_main_2007,uv2007_nobs,uv2007_mean_pre84,uv2007_mean_post84,uv2007_ratio_post_pre84,uv2007_pct_change_post84,uv2007_break_found,uv2007_break_date,uv2007_mu1,uv2007_mu2,uv2007_delta,uv2007_ratio_break,uv2007_pct_change_break,uv2007_ssr_nobreak,uv2007_ssr_best,uv2007_ssr_gain_pct,uv2007_supw_found,uv2007_supw_stat,uv2007_supw_hac_lag,uv2007_supw_break_date,uv2007_supw_mu1,uv2007_supw_mu2,uv2007_supw_ratio,uv2007_supw_pct_change,uv2007_hansen_pval,uv2007_hansen_sig5
HOUSTS,1,586,0.286374186877165,0.236372186130129,0.82539627159733,-17.460372840267,1,01-Mar-1993,0.284273231282283,0.209869749719879,-0.0744034815624044,0.738267717903689,-26.1732282096311,19.1762240271278,18.492335254055,3.56633700203617,1,4.72795925668166,5,01-Mar-1993,0.284273231282283,0.209869749719879,0.738267717903689,-26.1732282096311,0.280126280801654,0
HOUSTW,1,586,0.333509922325274,0.222456992852921,0.667017614654227,-33.2982385345773,1,01-Mar-1987,0.331966125588436,0.207152556109518,-0.124813569478918,0.624017151576306,-37.5982848423694,28.2098774219558,25.9791051430654,7.90777019525163,1,12.5713513957376,5,01-Mar-1987,0.331966125588436,0.207152556109518,0.624017151576306,-37.5982848423694,0.00797850460414884,1
PERMIT,1,576,0.280326247530154,0.22651458135061,0.808039144911839,-19.1960855088161,1,01-Sep-1982,0.2861344761854,0.223945368709722,-0.0621891074756783,0.782657761816221,-21.7342238183779,19.7314951558025,19.1760880394038,2.81482529333526,1,3.79851023291516,5,01-Sep-2000,0.240667194813831,0.325102304065481,1.35083763417347,35.0837634173472,0.409781071763686,0
PERMITNE,1,576,0.349964188633051,0.285569219898381,0.815995548041087,-18.4004451958913,1,01-Nov-1997,0.366317437045158,0.135199899185997,-0.23111753785916,0.369078524562101,-63.0921475437899,27.689767786482,22.5842465378167,18.4382956478163,1,86.894701795892,5,01-Jun-1998,0.363907787623482,0.13077389276319,0.359359973077837,-64.0640026922163,0,1
PERMITMW,1,576,0.341086969859339,0.206900737162305,0.606592322326558,-39.3407677673442,1,01-Feb-1985,0.341588631989245,0.199491579421465,-0.14209705256778,0.584011178181557,-41.5988821818443,30.5575636686382,27.65684799383,9.49262744328448,1,13.4022071314777,5,01-Apr-1985,0.340851367191279,0.199270749985604,0.584626523952821,-41.5373476047179,0.00538166889617753,1
PERMITS,1,576,0.408810566889057,0.324732354542124,0.794334542311989,-20.5665457688011,1,01-Apr-1967,0.589021650463805,0.326693557646241,-0.262328092817565,0.554637605237425,-44.5362394762575,34.311950427936,29.1813332082968,14.9528579857762,1,22.9977576264669,5,01-May-1967,0.587292690095309,0.326470866434698,0.555891247993766,-44.4108752006234,5.2131029869118e-05,1
PERMITW,1,576,0.345564738792203,0.245998660291938,0.711874310879454,-28.8125689120546,1,01-Jan-1987,0.346835670666248,0.229675960038654,-0.117159710627594,0.662203975725628,-33.7796024274372,28.2728519315026,26.3288746744307,6.87577348681209,1,9.39845559583285,5,01-Jul-1993,0.331431967785656,0.21273512091684,0.64186663205168,-35.813336794832,0.0351669155863846,1
ACOGNO,0,NaN,NaN,NaN,NaN,NaN,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,0
AMDMNOx,1,586,0.0337709670252706,0.0348428561352677,1.03173995903626,3.17399590362639,1,01-Oct-1999,0.0333523074250109,0.0390057624192083,0.00565345499419742,1.16950716249269,16.9507162492688,0.478958533122717,0.47635012129945,0.544600762462864,1,1.87839038531471,5,01-Nov-1988,0.0327011389342037,0.0367868303099432,1.12494033874356,12.4940338743556,0.819159408181608,0
ANDENOx,1,478,0.0819066001220362,0.0676059852349446,0.825403387934739,-17.4596612065261,1,01-Jan-1992,0.0824700396336107,0.059496735057616,-0.0229733045759947,0.721434539402938,-27.8565460597062,1.92358211071507,1.86305717899029,3.14646987969115,1,10.4481004584689,5,01-Jan-1992,0.0824700396336107,0.059496735057616,0.721434539402938,-27.8565460597062,0.021618930127647,1
AMDMUOx,1,586,0.0122748854968173,0.00882561173462718,0.718997479603008,-28.1002520396992,1,01-Apr-1979,0.0132265121938613,0.0087176631009005,-0.00450884909296078,0.65910521028715,-34.089478971285,0.0396816979287289,0.0367936287436227,7.27808873071254,1,15.4048770389893,5,01-Jun-1979,0.0131912133624481,0.00871647952393819,0.660779208435191,-33.9220791564809,0.00206936261848489,1
