series_name,include_main_hist,include_main_2007,include_main_full_ext,uv_mb_nbreaks_hist,uv_mb_break_dates_hist,uv_mb_break_stats_hist,uv_mb_break_pvals_hist,cv_mb_nbreaks_hist,cv_mb_break_dates_hist,cv_mb_break_stats_hist,cv_mb_break_pvals_hist,uv2007_mb_nbreaks,uv2007_mb_break_dates,uv2007_mb_break_stats,uv2007_mb_break_pvals,cv2007_mb_nbreaks,cv2007_mb_break_dates,cv2007_mb_break_stats,cv2007_mb_break_pvals,uvfull_mb_nbreaks,uvfull_mb_break_dates,uvfull_mb_break_stats,uvfull_mb_break_pvals,cvfull_mb_nbreaks,cvfull_mb_break_dates,cvfull_mb_break_stats,cvfull_mb_break_pvals
DNDGRG3M086SBEA,1,1,1,1,01-Feb-1973,10.308,0.001325,2,01-Dec-1972 | 01-Nov-1991,19.449 | 12.118,1e-05 | 0.000499,1,01-Jan-1999,33.156,0,3,01-Dec-1972 | 01-Aug-1991 | 01-Mar-1999,29.054 | 15.358 | 37.773,0 | 8.9e-05 | 0,4,01-Jan-1986 | 01-Mar-1992 | 01-Jan-1999 | 01-Aug-2009,11.448 | 15.407 | 37.301 | 10.355,0.000716 | 8.7e-05 | 0 | 0.001291,3,01-Jan-1973 | 01-Sep-1991 | 01-Apr-1999,18.429 | 13.618 | 40.814,1.8e-05 | 0.000224 | 0
DSERRG3M086SBEA,1,1,1,5,01-Jul-1965 | 01-Jul-1972 | 01-Sep-1978 | 01-Jul-1986 | 01-Jun-1993,2.312 | 13.91 | 29.417 | 20.264 | 3.471,0.12842 | 0.000192 | 0 | 7e-06 | 0.062449,5,01-Aug-1972 | 01-Sep-1978 | 01-Dec-1986 | 01-Feb-1990 | 01-Apr-1994,23.728 | 24.884 | 86.312 | 17.663 | 12.602,1e-06 | 1e-06 | 0 | 2.6e-05 | 0.000385,3,01-Jul-1972 | 01-Sep-1978 | 01-Sep-1986,11.559 | 29.566 | 27.562,0.000674 | 0 | 0,3,01-Jul-1972 | 01-Sep-1978 | 01-Dec-1986,20.725 | 24.718 | 41.668,5e-06 | 1e-06 | 0,4,01-Jul-1965 | 01-Jul-1972 | 01-Sep-1978 | 01-Sep-1986,2.315 | 13.919 | 29.576 | 47.997,0.12815 | 0.000191 | 0 | 0,3,01-Aug-1972 | 01-Oct-1978 | 01-Jan-1987,20.725 | 24.718 | 55.742,5e-06 | 1e-06 | 0
CES0600000008,1,1,1,1,01-Jun-1982,16.052,6.2e-05,1,01-May-1983,21.392,4e-06,2,01-Jun-1982 | 01-Nov-1998,14.431 | 8.283,0.000145 | 0.004001,3,01-May-1983 | 01-Nov-1999 | 01-Mar-2006,22.274 | 7.684 | 8.505,2e-06 | 0.005573 | 0.003541,1,01-Jun-1982,30.911,0,1,01-May-1983,38.003,0
CES2000000008,1,1,1,1,01-Aug-1965,9.392,0.002179,1,01-Apr-1988,35.536,0,2,01-Aug-1965 | 01-May-1988,6.518 | 20.419,0.010676 | 6e-06,2,01-Jun-1966 | 01-Apr-1988,4.807 | 36.663,0.028344 | 0,1,01-Aug-1965,27.95,5e-06,1,01-Apr-1988,48.632,0
CES3000000008,1,1,1,1,01-Mar-1982,20.574,6e-06,1,01-Mar-1983,23.728,1e-06,1,01-Mar-1982,27,0,1,01-Mar-1983,34.019,0,1,01-Mar-1982,27.045,0,1,01-Apr-1982,34.531,0
UMCSENTx,0,0,0,NaN,,,,NaN,,,,NaN,,,,NaN,,,,NaN,,,,NaN,,,
DTCOLNVHFNM,1,1,1,2,01-Aug-1966 | 01-Sep-1976,6.111 | 25.246,0.013432 | 1e-06,1,01-Sep-1976,41.594,0,2,01-Aug-1966 | 01-Sep-1976,6.16 | 37.634,0.013071 | 0,1,01-Sep-1976,74.234,0,4,01-Aug-1966 | 01-Sep-1976 | 01-Dec-1988 | 01-Jan-2011,6.162 | 5.472 | 2.575 | 17.773,0.013055 | 0.019319 | 0.10855 | 2.5e-05,3,01-Jul-1970 | 01-Oct-1976 | 01-May-2011,2.023 | 41.267 | 16.65,0.15492 | 0 | 4.5e-05
DTCTHFNM,1,1,1,2,01-Nov-1966 | 01-Dec-1974,2.044 | 11.462,0.1528 | 0.00071,3,01-Dec-1967 | 01-May-1975 | 01-Feb-1987,4.544 | 19.152 | 11.441,0.033032 | 1.2e-05 | 0.000719,2,01-Nov-1966 | 01-Dec-1974,2.044 | 11.606,0.15278 | 0.000657,3,01-Aug-1962 | 01-Dec-1963 | 01-Aug-1974,21.119 | 10.919 | 29.818,4e-06 | 0.017354 | 0,1,01-Dec-1974,8.809,0.002997,3,01-Nov-1967 | 01-Jan-1974 | 01-Oct-2010,2.813 | 9.212 | 1.136,0.093489 | 0.03833 | 0.2865
INVEST,1,1,1,2,01-Oct-1978 | 01-Oct-1993,64.583 | 11.146,0 | 0.000842,1,01-Jan-1977,21.957,3e-06,2,01-Oct-1978 | 01-Jan-1994,65.619 | 22.932,0 | 2e-06,3,01-Jan-1977 | 01-Feb-1997 | 01-Apr-2006,24.715 | 14.454 | 13.067,1e-06 | 0.000144 | 0.000301,3,01-Oct-1978 | 01-Jan-1994 | 01-Jul-2009,65.616 | 22.924 | 15.408,0 | 2e-06 | 8.7e-05,1,01-Mar-1973,10.591,0.001137
VIXCLSx,1,1,1,0,,,,0,,,,2,01-Mar-1975 | 01-Jul-1998,6.734 | 14.719,0.009461 | 0.000125,0,,,,2,01-Mar-1975 | 01-Sep-1987,27.178 | 29.152,0 | 0,0,,,
