series_name,include_main_hist,cvexp_found,cvexp_stat,cvexp_break_date,cvexp_hac_lag,cvexp_mu1,cvexp_mu2,cvexp_ratio,cvexp_pct_change,cvexp_nobs_exp,cvexp_pval,cvexp_sig5
IPB51222S,1,1,88.7463164953821,01-Feb-1967,5,0.0111744198155853,0.0265882099418154,2.37938169324298,137.938169324298,418,0,1
IPFUELS,1,1,14.2943628019937,01-Oct-1992,5,0.0177254218119149,0.0121916251766222,0.687804516360063,-31.2195483639937,421,0.00351942894646307,1
CUMFNS,1,1,25.1993152861556,01-Sep-1983,5,0.635632526667692,0.418695583751791,0.658706982707141,-34.1293017292859,411,1.7725280370029e-05,1
HWI,1,1,65.7827015505506,01-Jun-1968,5,47.9396292604633,103.049790947064,2.14957421525267,114.957421525267,411,2.90878432451791e-14,1
HWIURATIO,1,1,9.28501157569419,01-Jan-1981,5,0.0304052658698326,0.0214288322458902,0.704773717080087,-29.5226282919913,420,0.0370544869797365,1
CLF16OV,1,1,33.839472970423,01-Oct-1983,5,0.0030852488145401,0.00178500760734328,0.578561961982104,-42.1438038017896,422,2.49411080566198e-07,1
CE16OV,1,1,32.7111635930887,01-Sep-1994,5,0.00286053169491142,0.00164516981752665,0.575127281565603,-42.4872718434397,419,4.36177589491216e-07,1
UNRATE,1,1,15.5127885307071,01-May-1991,5,0.162360828026473,0.115878323333725,0.713708625055984,-28.6291374944016,419,0.00196502784785002,1
UEMPMEAN,1,1,8.17273721935275,01-Aug-1965,5,0.636390149798163,0.409508000226658,0.643485761614219,-35.6514238385781,419,0.0616449666191056,0
UEMPLT5,1,1,16.7776622460585,01-Nov-1983,5,0.0477876997058377,0.0325872489131635,0.681917085646678,-31.8082914353322,421,0.00106989345326836,1
UEMP5TO14,1,1,16.1984172234781,01-Dec-1984,5,0.0566276350301924,0.0397969666291206,0.702783483857341,-29.7216516142659,421,0.00141384085956586,1
UEMP15OV,1,1,16.6121765616329,01-Mar-1971,5,0.0629322952657867,0.0406848595267676,0.646486185748352,-35.3513814251648,419,0.00115864667515619,1
UEMP15T26,1,1,19.3085426335219,01-Jul-1971,5,0.0952670508562902,0.0660250896919719,0.693052730178144,-30.6947269821856,420,0.000314651427285484,1
UEMP27OV,1,1,29.0344798082296,01-Aug-1979,5,0.0801689781748376,0.0474023081613677,0.591279934465296,-40.8720065534704,419,2.68462729069441e-06,1
CLAIMSx,1,1,31.278892719471,01-Jun-1994,5,0.0491507967783197,0.0283470518308831,0.576736364188239,-42.3263635811761,423,8.86036205960394e-07,1
PAYEMS,1,1,50.5076758316898,01-Feb-1984,5,0.00180548886668449,0.000866363326675722,0.479849719741928,-52.0150280258072,413,6.16708906164831e-11,1
USGOOD,1,1,63.2829552454712,01-Mar-1984,5,0.00380111092251205,0.00156960489466354,0.412933199441133,-58.7066800558867,413,1.02029495963052e-13,1
CES1021000001,1,1,12.8061081948003,01-Dec-1993,5,0.0121894514423396,0.005132171233186,0.421033814151765,-57.8966185848235,423,0.00713978138386173,1
USCONS,1,1,51.1157681526676,01-Mar-1984,5,0.0101980461823748,0.00439867602646852,0.431325368389753,-56.8674631610247,418,4.54929427462503e-11,1
MANEMP,1,1,29.8310557236582,01-Nov-1983,5,0.00334678584416903,0.00137850467417609,0.411889119400277,-58.8110880599723,413,1.81195380388743e-06,1
DMANEMP,1,1,22.9531878417656,01-Nov-1983,5,0.00464974262048911,0.00190001683991789,0.408628389783438,-59.1371610216562,413,5.32798524114364e-05,1
NDMANEMP,1,1,27.3628512394856,01-Oct-1980,5,0.00251394655252241,0.00137353076155456,0.546364345008212,-45.3635654991788,421,6.11882713597023e-06,1
SRVPRD,1,1,14.8297766301261,01-Jul-1991,5,0.00130368442034059,0.000821213159603656,0.629917138527368,-37.0082861472632,419,0.00272528274827311,1
USTPU,1,1,13.5987419885425,01-May-1990,5,0.00189601977442727,0.00120882369759418,0.637558591897772,-36.2441408102228,419,0.0049017930937344,1
USWTRADE,1,1,18.2046868814664,01-Mar-1990,5,0.001675442828845,0.00109842302435071,0.655601614952107,-34.4398385047893,416,0.000537189700630658,1
USTRADE,1,1,24.3540811871144,01-Apr-1991,5,0.00248430814504735,0.00140032999545289,0.563670009392573,-43.6329990607428,418,2.68325298840022e-05,1
USFIRE,1,1,13.7227373612491,01-Jan-1966,5,0.000725069443888865,0.00104626506468898,1.44298601121211,44.2986011212113,420,0.00462107787787236,1
USGOVT,1,1,30.901980766604,01-Sep-1991,5,0.0021012073449335,0.00117965875465925,0.561419489372947,-43.8580510627053,412,1.06752508011176e-06,1
CES0600000007,1,1,6.81947031043081,01-Mar-1984,5,0.219678067072485,0.161482095511952,0.735085198371984,-26.4914801628016,420,0.11328308970722,0
