series_name,include_main_2007,cv2007_smooth_found,cv2007_smooth_gamma,cv2007_smooth_midpoint,cv2007_smooth_ssr_gain,cv2007_smooth_ratio,cv2007_smooth_pct_change,cv2007_smooth_abrupt
UEMP15T26,1,1,5,01-Oct-1966,3.76814633283928,0.518366916806705,-48.1633083193295,0
UEMP27OV,1,1,20,01-Nov-1977,6.88583851038118,0.598880680216528,-40.1119319783472,1
CLAIMSx,1,1,100,01-Jun-1984,3.77856087193971,0.694731298520675,-30.5268701479325,1
PAYEMS,1,1,100,01-Aug-1984,11.0024046000779,0.467792520297667,-53.2207479702333,1
USGOOD,1,1,100,01-Nov-1983,11.1114059158841,0.453116608974819,-54.6883391025181,1
CES1021000001,1,1,100,01-Apr-1987,3.63605167398534,0.386461255793787,-61.3538744206213,1
USCONS,1,1,50,01-Feb-1983,15.091314700943,0.403047587033017,-59.6952412966983,1
MANEMP,1,1,100,01-May-1983,10.0482292642236,0.402195984274538,-59.7804015725462,1
DMANEMP,1,1,100,01-Jun-1983,8.80594990269256,0.385402687618397,-61.4597312381603,1
NDMANEMP,1,1,100,01-Mar-1983,8.13150205768329,0.556147550025203,-44.3852449974797,1
SRVPRD,1,1,100,01-Oct-1984,5.02127566254308,0.596434177314848,-40.3565822685152,1
USTPU,1,1,5,01-Oct-1966,7.10989571759943,0.344298556315128,-65.5701443684872,0
USWTRADE,1,1,1,01-Oct-1982,4.0777148944008,-0.120945209525842,-112.094520952584,0
USTRADE,1,1,5,01-May-1967,5.09548311556132,0.399281460766429,-60.0718539233571,0
USFIRE,1,1,100,01-Aug-2000,1.02583340259049,1.27468867924131,27.4688679241311,1
USGOVT,1,1,100,01-Oct-1991,2.17145684431893,0.654827653401932,-34.5172346598068,1
CES0600000007,1,1,100,01-Nov-1983,2.01689308832227,0.729113972960308,-27.0886027039692,1
AWOTMAN,1,1,100,01-Jun-1996,2.20440198985415,0.657690541332624,-34.2309458667376,1
AWHMAN,1,1,100,01-Dec-1983,1.9598804631186,0.721591007617182,-27.8408992382818,1
HOUST,1,1,100,01-Dec-1984,3.52307643750417,0.714080812846481,-28.5919187153519,1
HOUSTNE,1,1,100,01-May-1984,2.49084071467938,0.74639122678923,-25.360877321077,1
HOUSTMW,1,1,100,01-Apr-1988,1.61414773574427,0.782173211002489,-21.7826788997511,1
HOUSTS,1,1,100,01-Apr-1984,2.36188647169208,0.761717640533329,-23.8282359466671,1
HOUSTW,1,1,100,01-Jun-1984,0.807633730507343,0.865897393844268,-13.4102606155732,1
PERMIT,1,1,100,01-Sep-1991,6.66641268686651,0.555715805484343,-44.4284194515657,1
PERMITNE,1,1,100,01-Sep-1984,3.94182933220179,0.670941952859257,-32.9058047140743,1
PERMITMW,1,1,100,01-Apr-1991,6.7548895087979,0.541814260788755,-45.8185739211245,1
PERMITS,1,1,100,01-Jul-1991,4.26645419745319,0.645446816048043,-35.4553183951957,1
PERMITW,1,1,100,01-May-1991,3.07322693650236,0.690554510406151,-30.9445489593849,1
ACOGNO,0,0,NaN,,NaN,NaN,NaN,0
AMDMNOx,1,1,100,01-Nov-1992,0.274412288366015,0.910028674149958,-8.99713258500422,1
ANDENOx,1,1,100,01-Oct-1992,4.56337607712939,0.670082158353044,-32.9917841646956,1
AMDMUOx,1,1,20,01-Sep-1966,0.93153540684,0.759864330010001,-24.0135669989999,1
