series_name,include_main_hist,uv_nobs_hist,uv_mean_pre84,uv_mean_post84,uv_ratio_post_pre84,uv_pct_change_post_pre84,uv_break_found_hist,uv_break_date_hist,uv_mu1_hist,uv_mu2_hist,uv_delta_hist,uv_ratio_break_hist,uv_pct_change_break_hist,uv_ssr_nobreak_hist,uv_ssr_best_hist,uv_ssr_gain_pct_hist,uv_supw_found_hist,uv_supw_stat_hist,uv_supw_hac_lag_hist,uv_supw_break_date_hist,uv_supw_mu1_hist,uv_supw_mu2_hist,uv_supw_ratio_hist,uv_supw_pct_change_hist,uv_hansen_pval_hist,uv_hansen_sig5_hist
IPB51222S,1,490,0.0208942552176161,0.0339748505867542,1.6260378861511,62.6037886151104,1,01-Aug-1973,0.0138380974823798,0.032727311410039,0.0188892139276591,2.36501523794806,136.501523794806,0.295968272737093,0.255930674133372,13.5276657303352,1,102.956611446724,5,01-Jun-1971,0.0124945777500707,0.0318726954985262,2.55092217889043,155.092217889043,0,1
IPFUELS,1,490,0.0185869410574722,0.0163096156655843,0.877477128439465,-12.2522871560535,1,01-Dec-1992,0.0187927467520038,0.0123868983524446,-0.0064058483995592,0.659131872307269,-34.0868127692731,0.127386598420943,0.124530569818161,2.24201653720636,1,20.7647751441623,5,01-Nov-1992,0.0187982478498311,0.0124360501616155,0.661553686330785,-33.8446313669215,0.00015502152134339,1
CUMFNS,1,490,0.810710477790905,0.451708949162951,0.557176651267425,-44.2823348732575,1,01-Feb-1984,0.813724054530688,0.443171706640894,-0.370552347889794,0.544621612416867,-45.5378387583133,221.124771819943,205.15208728113,7.22338090271469,1,28.3117965465675,5,01-Feb-1984,0.813724054530688,0.443171706640894,0.544621612416867,-45.5378387583133,3.83398155778814e-06,1
HWI,1,490,87.1399055426404,139.934308551327,1.60585793248137,60.5857932481372,1,01-Aug-1979,78.5515831274501,137.341760836921,58.7901777094714,1.74842766203813,74.8427662038132,4794763.49687644,4371375.63861816,8.83021359727326,1,46.1396920669992,5,01-May-1969,61.8561994369157,123.23369635646,1.99226104219579,99.226104219579,5.47374701120873e-10,1
HWIURATIO,1,490,0.0330437505429587,0.0246945294522548,0.747328285878159,-25.2671714121841,1,01-Jan-1975,0.0380176156661331,0.0245050927237565,-0.0135125229423765,0.644572056779095,-35.5427943220905,0.364737800062188,0.343457322777691,5.83445896774858,1,10.7170739540183,5,01-May-1980,0.0353676457452759,0.0237005857514436,0.670120536779276,-32.9879463220724,0.0190707466416746,1
CLF16OV,1,490,0.00305453790011219,0.00192327028879482,0.629643616052098,-37.0356383947902,1,01-Oct-1983,0.00306750082463109,0.00191515435871772,-0.00115234646591337,0.624337031416461,-37.5662968583539,0.00281835179654355,0.0026627324779196,5.52164278479361,1,35.2242718887739,5,01-May-1993,0.00280441654373268,0.00160639228111274,0.572808017661539,-42.7191982338461,1.25508973436439e-07,1
CE16OV,1,490,0.00340892976519172,0.00219350859601246,0.643459603776584,-35.6540396223416,1,01-Oct-1965,0.00437619575084062,0.00265102209852262,-0.00172517365231799,0.605782339150023,-39.4217660849977,0.00365720501845074,0.00345798021950096,5.44746050452966,1,44.5288385216057,5,01-Feb-1992,0.00320998404065428,0.00176447915279182,0.549684711962671,-45.0315288037329,1.22324894658021e-09,1
UNRATE,1,490,0.192115324426143,0.137187808100287,0.714090916537103,-28.5909083462897,1,01-Jul-1984,0.193411236402282,0.132972966116484,-0.0604382702857983,0.687514172340583,-31.2485827659417,12.6362515557716,12.2156222368599,3.32875075377539,1,15.9943327217567,5,01-Feb-1986,0.191041199278031,0.130681188362432,0.684047152427293,-31.5952847572707,0.00155953289327737,1
UEMPMEAN,1,490,0.476206156540585,0.437117284613347,0.917916071872736,-8.20839281272637,1,01-Apr-1965,0.634945671253675,0.429927821206935,-0.205017850046741,0.67710961846241,-32.289038153759,80.178689582504,77.5380305965806,3.29346737851855,1,6.43288376391477,5,01-Jun-1965,0.631429355034529,0.429582904135828,0.680334071754292,-31.9665928245708,0.134421715653869,0
UEMPLT5,1,490,0.0540977664215715,0.0412469909225278,0.762452752690369,-23.7547247309631,1,01-Jun-1980,0.055966725452747,0.0415088672429505,-0.0144578582097965,0.74167046414028,-25.832953585972,0.880727233041125,0.855172716728616,2.90152448497249,1,10.0048915361058,5,01-Sep-1980,0.0558441882973233,0.0414584929945753,0.742395838468341,-25.7604161531659,0.0265649244564531,1
UEMP5TO14,1,490,0.0606405851795279,0.0446274409624363,0.735933547315147,-26.4066452684853,1,01-Jan-1975,0.0671374134956522,0.0462077494000586,-0.0209296640955936,0.688256323771708,-31.1743676228292,0.946082011376193,0.895027633063402,5.39640091439069,1,18.7249247928421,5,01-Jan-1981,0.0633212267625727,0.0439906625979316,0.694722210024099,-30.5277789975901,0.000417573905318935,1
UEMP15OV,1,490,0.0598972786498316,0.0439269555335741,0.733371474026018,-26.6628525973982,1,01-Jun-1976,0.065484482094098,0.0449028093068214,-0.0205816727872766,0.685701526085192,-31.4298473914808,0.992877574115101,0.942169431623255,5.10718983023048,1,14.3294724412,5,01-Jun-1976,0.065484482094098,0.0449028093068214,0.685701526085191,-31.4298473914809,0.00346096775839488,1
UEMP15T26,1,490,0.0860137220029614,0.0688328364967884,0.800254132641981,-19.9745867358019,1,01-Feb-1971,0.100551339284404,0.0704294823910742,-0.0301218568933298,0.700433061282935,-29.9566938717065,1.98791513699805,1.89565672125749,4.64096349102125,1,19.6620897405482,5,01-Feb-1971,0.100551339284404,0.070429482391074,0.700433061282931,-29.9566938717069,0.000265025347320647,1
UEMP27OV,1,490,0.0835025155675282,0.0512485268948471,0.613736323349475,-38.6263676650525,1,01-Jul-1976,0.0910089820610495,0.0558811016091626,-0.0351278804518869,0.61401743370426,-38.598256629574,1.75449469389632,1.606597335134,8.42962701892652,1,33.5285116381018,5,01-Jan-1981,0.0869439957832219,0.0522343432244347,0.600781488749044,-39.9218511250956,2.9096471199086e-07,1
CLAIMSx,1,490,0.0564058869889988,0.0374621766899801,0.664153667103694,-33.5846332896306,1,01-Apr-1984,0.056357050359439,0.0371375693545067,-0.0192194810049323,0.658969359071267,-34.1030640928733,0.950760313026549,0.907959499469778,4.50174591538473,1,30.7448780736446,5,01-Dec-1992,0.0526547983253558,0.0312362396083734,0.59322683975283,-40.677316024717,1.15372043341111e-06,1
PAYEMS,1,490,0.0026596108820461,0.00124692813525037,0.468838559680984,-53.1161440319016,1,01-Jun-1984,0.00266054792129211,0.00119982621905919,-0.00146072170223292,0.450969595193943,-54.9030404806058,0.00193289454978093,0.00168667336812815,12.7384694462867,1,66.8433401968002,5,01-Sep-1992,0.00236837272974406,0.00089103488196495,0.376222404005318,-62.3777595994682,1.70974345792274e-14,1
USGOOD,1,490,0.00554461526285061,0.00236971550253761,0.427390430209812,-57.2609569790188,1,01-Jun-1984,0.00554549045841607,0.00226586895407644,-0.00327962150433963,0.408596673471444,-59.1403326528556,0.00928028695105521,0.00803909800652483,13.3744673098632,1,52.5547102238081,5,01-Feb-1992,0.00487387326490493,0.0018853926799399,0.386836624069805,-61.3163375930195,2.21387352894453e-11,1
CES1021000001,1,490,0.014434836169979,0.00683755225433622,0.473684091306606,-52.6315908693394,1,01-Sep-1986,0.0142371538167948,0.00567228489388192,-0.00856486892291285,0.398414245352231,-60.1585754647769,0.279269519723709,0.271390530983143,2.82128488220319,1,17.7338435547478,5,01-Aug-1989,0.0135338181891493,0.00533075608272305,0.393884121112029,-60.6115878887971,0.000674522216386086,1
USCONS,1,490,0.0106477936500274,0.00572459608501579,0.537632139875386,-46.2367860124614,1,01-Jun-1984,0.0106861728529518,0.00550305596093467,-0.00518311689201717,0.514969768565419,-48.5030231434581,0.042308582308748,0.0392085054979251,7.32730014019388,1,33.9403615087141,5,01-Feb-1992,0.00959445924015278,0.00502935209500749,0.524193387987899,-47.5806612012101,2.37246017720238e-07,1
MANEMP,1,490,0.00545978429741851,0.00205884689171384,0.377093082722572,-62.2906917277428,1,01-Apr-1984,0.00545815301319285,0.00198910698859325,-0.0034690460245996,0.364428586700556,-63.5571413299444,0.0101049930784945,0.00871058838565129,13.7991652444653,1,45.91517857338,5,01-Jul-1984,0.00543339220740468,0.00197367405719645,0.363248957899028,-63.6751042100972,6.1231442138876e-10,1
DMANEMP,1,490,0.00740472558803317,0.00288405763897122,0.389488793971267,-61.0511206028733,1,01-Apr-1984,0.00739651142661814,0.00280106830360468,-0.00459544312301346,0.378701274431127,-62.1298725568873,0.021604985296705,0.0191580442691923,11.3258166756815,1,40.9944779017334,5,01-Jan-1992,0.00644527030248971,0.00225753181508338,0.350261774779458,-64.9738225220542,7.12480963116491e-09,1
NDMANEMP,1,490,0.00334120660450198,0.00164712200845941,0.49297221136821,-50.702778863179,1,01-Apr-1984,0.00333718081966987,0.00161754460758243,-0.00171963621208744,0.484703914767928,-51.5296085232072,0.00363365417040281,0.00329101116081027,9.42970886947569,1,27.6256837529681,5,01-Apr-1984,0.00333718081966987,0.00161754460758243,0.484703914767928,-51.5296085232072,5.3760265006364e-06,1
SRVPRD,1,490,0.00182855625423741,0.00115146134421846,0.629710648250566,-37.0289351749434,1,01-Mar-1992,0.00173516407228368,0.000829357044688924,-0.000905807027594761,0.477970387893861,-52.2029612106139,0.00105686247620173,0.00099503966535978,5.84965520434911,1,51.1467356480021,5,01-Sep-1992,0.00172811200200799,0.000799554080959439,0.462674919235785,-53.7325080764215,4.47935022407364e-11,1
USTPU,1,490,0.0024686330120703,0.00184195958945006,0.746145571433203,-25.3854428566797,1,01-Sep-1992,0.00241508159213415,0.00133368962231378,-0.00108139196982036,0.552233774071059,-44.7766225928941,0.00204744896909096,0.00196377420448309,4.08678144711062,1,22.0794609572911,5,01-Sep-1992,0.00241508159213415,0.00133368962231378,0.552233774071059,-44.7766225928941,8.16558528842215e-05,1
USWTRADE,1,490,0.00257215923307635,0.00204641137389741,0.795600578526341,-20.4399421473659,1,01-Mar-1993,0.00258291659341194,0.00127162405604409,-0.00131129253736785,0.492320990653561,-50.7679009346439,0.00174959160399007,0.00163333666137852,6.64469024350758,1,43.0775871680644,5,01-Mar-1993,0.00258291659341194,0.00127162405604409,0.492320990653561,-50.7679009346439,2.5229608402455e-09,1
USTRADE,1,490,0.00299293442681736,0.00227385565509317,0.759741220762778,-24.0258779237222,1,01-Sep-1992,0.00295856809229932,0.00156519314681419,-0.00139337494548513,0.529037391732893,-47.0962608267107,0.00361006729006486,0.00347114746971229,3.84812274094972,1,35.7175288618544,5,01-Sep-1992,0.00295856809229932,0.00156519314681419,0.529037391732892,-47.0962608267108,9.82573036267809e-08,1
USFIRE,1,490,0.0014890171873236,0.00197920054325877,1.32919925982603,32.9199259826035,1,01-Jun-1966,0.00085953717657361,0.00186093123032249,0.00100139405374888,2.16503867551227,116.503867551227,0.000839379389380166,0.000766982040726985,8.62510440084096,1,49.7187459099053,5,01-May-1966,0.000854963275812115,0.00185943379933614,2.17486978907941,117.486978907941,9.15093556486113e-11,1
USGOVT,1,490,0.00278713530411886,0.00180021746960113,0.645902431410756,-35.4097568589244,1,01-Jul-1982,0.00283147153435126,0.00182088312745518,-0.00101058840689608,0.643087209376582,-35.6912790623418,0.00332641448334144,0.00320400779464454,3.67983873657093,1,18.6193754953533,5,01-Sep-1991,0.00260457323665222,0.00159414080060419,0.612054511722317,-38.7945488277683,0.000439481550293941,1
CES0600000007,1,490,0.557438971623328,0.547184589729497,0.981604476156431,-1.83955238435687,1,01-Aug-1993,0.472280597140796,0.995422204677969,0.523141607537173,2.10769235641754,110.769235641754,107.540342759539,89.9669191242184,16.3412382594079,1,55.3419046082898,5,01-Oct-1993,0.473825788312401,1.000874686944,2.11232632674714,111.232632674714,5.48072698336455e-12,1
AWOTMAN,1,490,0.131471811853968,0.103507655018218,0.787299220711957,-21.2700779288042,1,01-Nov-1981,0.134308017416696,0.103161202494113,-0.0311468149225834,0.768094150135884,-23.1905849864116,9.68964407232501,9.57235607107458,1.21044695114674,1,4.66763652486864,5,01-May-1993,0.126187120042096,0.0910020678313789,0.721167642157302,-27.8832357842698,0.287278648092683,0
AWHMAN,1,490,0.628948774414923,0.660417152488384,1.05003329262027,5.00332926202686,1,01-Aug-1993,0.547334874982338,1.15302881329906,0.605693938316724,2.10662405412458,110.662405412458,145.170845315018,121.613610656875,16.2272490781634,1,49.377075855873,5,01-Aug-1993,0.547334874982339,1.15302881329906,2.10662405412458,110.662405412458,1.08560826994619e-10,1
