series_name,include_main_full_ext,uvfull_nobs,uvfull_mean_pre84,uvfull_mean_post84,uvfull_ratio_post_pre84,uvfull_pct_change_post84,uvfull_break_found,uvfull_break_date,uvfull_mu1,uvfull_mu2,uvfull_delta,uvfull_ratio_break,uvfull_pct_change_break,uvfull_ssr_nobreak,uvfull_ssr_best,uvfull_ssr_gain_pct,uvfull_supw_found,uvfull_supw_stat,uvfull_supw_hac_lag,uvfull_supw_break_date,uvfull_supw_mu1,uvfull_supw_mu2,uvfull_supw_ratio,uvfull_supw_pct_change,uvfull_hansen_pval,uvfull_hansen_sig5
IPNCONGD,1,803,0.00769978366442282,0.0071454180242171,0.92800243950136,-7.19975604986399,1,01-Sep-1975,0.00821336787359494,0.00706707189963947,-0.00114629597395547,0.860435330354472,-13.9564669645528,0.0287272780555303,0.0285305945211556,0.684657745835044,1,3.6585046076194,6,01-Sep-1975,0.00821336787359495,0.00706707189963946,0.86043533035447,-13.956466964553,0.433191509801998,0
IPBUSEQ,1,803,0.0128346691772607,0.0117058883254773,0.912052205148908,-8.79477948510924,1,01-Aug-2015,0.0112304973193955,0.0169754226931166,0.00574492537372108,1.51154683629187,51.1546836291869,0.210914549537741,0.207431232975063,1.65152976421617,1,1.994188502345,6,01-Mar-2008,0.0109895636844456,0.0152493084535106,1.38761727866359,38.7617278663589,0.790589446066815,0
IPMAT,1,803,0.0127295557620124,0.00717959833219608,0.564010124659769,-43.5989875340232,1,01-Jan-1984,0.012764433069772,0.00714789541066844,-0.00561653765910354,0.559985341424657,-44.0014658575343,0.121271641443969,0.115351616591999,4.88162342117277,1,15.8038916664276,6,01-Jan-1984,0.0127644330697719,0.00714789541066845,0.559985341424658,-44.0014658575342,0.00170888292717442,1
IPDMAT,1,803,0.0190045601507683,0.0102718570430777,0.540494331970236,-45.9505668029764,1,01-Feb-1984,0.0190473333150088,0.0102116237319693,-0.00883570958303944,0.53611828821848,-46.388171178152,0.277783851303362,0.263112957949907,5.2814061309249,1,14.9119728248729,6,01-Feb-1984,0.0190473333150088,0.0102116237319693,0.536118288218479,-46.3881711781521,0.00262022598188294,1
IPNMAT,1,803,0.0107942315694312,0.00855170724842502,0.79224789587089,-20.775210412911,1,01-Jul-2005,0.00857517235211714,0.0112151307642922,0.00263995841217511,1.30786068241804,30.7860682418042,0.105716998124176,0.104527759713668,1.1249263898982,1,3.93237546931387,6,01-Feb-1976,0.0112462469181133,0.00874968079607684,0.778008953545611,-22.1991046454389,0.388395190215907,0
IPMANSICS,1,803,0.0102234496044781,0.00719302140395215,0.703580658411171,-29.6419341588829,1,01-Feb-1984,0.010258627487709,0.00715999114277856,-0.00309863634493046,0.69794825393134,-30.205174606866,0.102971019212842,0.101166693593668,1.75226547524472,1,6.95327822701194,6,01-Feb-1984,0.010258627487709,0.00715999114277855,0.69794825393134,-30.205174606866,0.106735765668526,0
IPB51222S,1,803,0.0210378360817445,0.0387368451111548,1.84129417876625,84.1294178766252,1,01-Aug-1973,0.0141387406578974,0.0371561861033687,0.0230174454454713,2.62796998703095,162.796998703095,0.795725964664792,0.723515757088779,9.07475824374188,1,154.334920577106,6,01-Jun-1971,0.0128341661527389,0.0365372905998286,2.84687685705482,184.687685705482,0,1
IPFUELS,1,803,0.0186244636582799,0.0173088359583596,0.929360236941086,-7.0639763058914,1,01-Nov-1986,0.0192771114755114,0.0167484557612632,-0.00252865571424818,0.868826005521603,-13.1173994478397,0.301906791896797,0.300660539658484,0.412793707118259,1,2.09639120095383,6,01-Nov-1986,0.0192771114755114,0.0167484557612632,0.868826005521603,-13.1173994478397,0.765424310369087,0
CUMFNS,1,803,0.810987956028825,0.535470471606726,0.660269326598599,-33.9730673401401,1,01-Feb-1984,0.814056013477049,0.53254511931386,-0.281510894163189,0.654187316962648,-34.5812683037352,543.415235542321,528.522855623189,2.74051571341569,1,10.1764847340974,6,01-Feb-1984,0.814056013477049,0.53254511931386,0.654187316962648,-34.5812683037352,0.0245306724673732,1
HWI,1,802,87.0878907334358,226.579375327172,2.60173226632278,160.173226632278,1,01-Jul-2014,133.014262527994,377.326365126591,244.312102598598,2.83673613607549,183.673613607549,30521171.8049378,23740732.9038225,22.2155261418184,1,80.1000652782304,6,01-May-1969,61.8340900049008,195.202656160318,3.15687764055146,215.687764055146,0,1
HWIURATIO,1,800,0.0330492978690108,0.0393594585371738,1.19093176179334,19.0931761793338,1,01-Jun-2015,0.0293955748213726,0.0785139546078916,0.049118379786519,2.67094469439687,167.094469439687,1.82080835569243,1.56801453159412,13.8836041315382,1,17.3566289243525,6,01-Jun-2015,0.0293955748213726,0.0785139546078916,2.67094469439688,167.094469439687,0.000809290320749723,1
CLF16OV,1,801,0.00312032556292429,0.00221769826753988,0.710726564526012,-28.9273435473988,1,01-Jul-1975,0.00333769429228838,0.00229773753434303,-0.00103995675794535,0.688420608098192,-31.1579391901808,0.00694607779774082,0.00678542022117597,2.31292509590242,1,16.3227818496296,6,01-Jun-1978,0.00325357112965025,0.00226806809181923,0.697101124100223,-30.2898875899777,0.00133177041023635,1
CE16OV,1,801,0.00344694844594978,0.00301161225094699,0.873703885674787,-12.6296114325213,1,01-Oct-2015,0.0028258566568157,0.00512767828499747,0.00230182162818177,1.81455710877266,81.4557108772659,0.0464108999290345,0.0458666415801714,1.1726950989861,1,1.97128410129085,6,01-Mar-1969,0.00391650034741007,0.00304137508394522,0.776554274010582,-22.3445725989418,0.796240972895138,0
UNRATE,1,801,0.191583823825673,0.189048384828929,0.986765902537516,-1.32340974624843,1,01-Oct-2015,0.16589799027091,0.325394080039528,0.159496089768619,1.96141062051543,96.1410620515431,200.872566687389,198.259431683439,1.30089192717717,1,1.36418115554658,6,01-Nov-2007,0.161705433981896,0.266600176803669,1.64867790920073,64.8677909200728,0.939939739883918,0
UEMPMEAN,1,801,0.477546090805478,0.795004304770965,1.66476978888055,66.4769788880546,1,01-May-2015,0.526836308727438,1.48080469816513,0.953968389437695,2.81074913333514,181.074913333514,517.173325830171,420.543817380306,18.6841632434841,1,34.7073873327993,6,01-Feb-2007,0.466020778822903,1.21674636336816,2.61092727762369,161.092727762369,1.6219358012215e-07,1
UEMPLT5,1,801,0.0541048006451409,0.0680788731346488,1.25827786671205,25.8277866712053,1,01-Mar-2015,0.0514872114628404,0.122781331753819,0.0712941202909783,2.38469569948322,138.469569948322,7.95370037216725,7.40706221086609,6.87275275309632,1,8.444658944417,6,01-Sep-1993,0.0471781614517893,0.0797615719598129,1.69064604268906,69.0646042689055,0.0544674238235109,0
UEMP5TO14,1,801,0.0606421851952505,0.061603119487221,1.01584597073599,1.58459707359912,1,01-Oct-2015,0.0539863586261023,0.102041458053779,0.0480550994276766,1.89013411259121,89.0134112591214,6.39645729829763,6.1592430741216,3.70852509621479,1,2.67314656181765,6,01-Aug-2007,0.0534136764555286,0.0820592721147907,1.53629702278801,53.6297022788011,0.628825572490602,0
UEMP15OV,1,801,0.0598816703338469,0.0507329808310936,0.84722053590442,-15.277946409558,1,01-Oct-2015,0.0502899831588072,0.0757540377647735,0.0254640546059663,1.50634446477254,50.634446477254,2.97125197666371,2.90464543562307,2.24169951130942,1,8.20627557851514,6,01-Dec-1970,0.0690710240385185,0.0509185761821803,0.737191563191315,-26.2808436808685,0.0607124159728505,0
